M1_TOA_us, M1_STE     , M1_ZCR, M1_PEAK, M2_TOA_us, M2_STE    , M2_ZCR, M2_PEAK, Lokasi
781557972, 1622.55    , 0.16  , 99     , 781556763, 1207.49   , 0.06  , 85     , Dekat Mic2
782065205, 1298.64    , 0.19  , 103    , 782056760, 423.58    , 0.27  , 55     , Dekat Mic2
782565902, 2689.55    , 0.06  , 123    , 782556313, 1302.87   , 0.08  , 83     , Dekat Mic2
783066240, 19115618.0 , 0.0   , 8447   , 783061889, 496277.47 , 0.01  , 1508   , Dekat Mic2
783565216, 2136.96    , 0.08  , 100    , 783556150, 610.7     , 0.14  , 67     , Dekat Mic2
784057014, 1248.85    , 0.14  , 92     , 784057460, 1626.31   , 0.0   , 66     , Dekat Mic1
784557226, 579.33     , 0.21  , 60     , 784556696, 1895.81   , 0.0   , 77     , Dekat Mic2
785057119, 538.2      , 0.26  , 74     , 785065732, 2864.06   , 0.06  , 93     , Dekat Mic1
785566971, 819.62     , 0.16  , 74     , 785561834, 3526.76   , 0.0   , 88     , Dekat Mic2
786066075, 2048.89    , 0.08  , 93     , 786058382, 2907.96   , 0.0   , 85     , Dekat Mic2
786560768, 131896.58  , 0.01  , 654    , 786566792, 2594.73   , 0.02  , 109    , Dekat Mic1
787067513, 655.14     , 0.14  , 68     , 787056217, 1161.77   , 0.05  , 76     , Dekat Mic2
787566356, 882.71     , 0.15  , 71     , 787561899, 5015.39   , 0.0   , 104    , Dekat Mic2
788060599, 86404.16   , 0.01  , 622    , 788058255, 4399.18   , 0.08  , 138    , Dekat Mic2
788565225, 894.29     , 0.1   , 78     , 788556784, 1024.97   , 0.2   , 69     , Dekat Mic2
789063352, 2367.84    , 0.15  , 129    , 789058380, 4431.32   , 0.0   , 110    , Dekat Mic2
789560341, 3443.42    , 0.09  , 124    , 789563644, 3451.13   , 0.01  , 99     , Dekat Mic1
790066430, 1593748.88 , 0.01  , 2684   , 790061564, 97371.8   , 0.01  , 693    , Dekat Mic2
790567027, 2621.55    , 0.09  , 121    , 790566850, 1523.81   , 0.07  , 95     , Dekat Mic2
791066023, 634.92     , 0.19  , 64     , 791056542, 3061.62   , 0.0   , 111    , Dekat Mic2
